Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
NIRF-ENGG-1-2454009090,"Shri Ramdeobaba College Of Engineering And Management, Ramdeo Tekdi, Gittikhadan, Katol Road, Nagpur-Nagpur",46.81,47.19,72.78,61.03,34,NAGPUR,Maharashtra,51.5,86
NIRF-ENGG-INF-367,"National Institute Of Technology, Patna",46.73,52.37,66.9,55.69,37,Patna,Bihar,51.08,87
NIRF-ENGG-773,"Vignan's Foundation For Science, Technology And Research",49.21,50.65,72.09,67.19,0,Guntur,Andhra Pradesh,50.65,88
NIRF-ENGG-1-2453802770,Shri Guru Gobind Singhji Institute Of Engineering And Technology-Nanded,48.74,47.61,67.42,51.75,41,NANDED,Maharashtra,50.64,89
NIRF-ENGG-1-2454313873,Sri Ramakrishna Engineering College-Coimbatore,46.62,56.15,67.8,65.62,6,COIMBATORE,Tamil Nadu,50.55,90
NIRF-ENGG-1-2449883879,Bengal Institute Of Technology,28.7,50,92.06,47.01,59,KOLKATA,West Bengal,50.33,91
NIRF-ENGG-INF-408,"National Institute Of Technology, Delhi",41.3,48.26,61.61,67.57,45,Delhi,Delhi,50.22,92
NIRF-ENGG-1-2450722205,Yeshwantrao Chavan College Of Engineering-Nagpur,45.23,39.29,65.99,73.81,46,NAGPUR,Maharashtra,50.14,93
NIRF-ENGG-1-2449936766,Adhiyamaan College Of Engineering (Engineering & Technology),52,49.66,54.04,59.65,34,HOSUR,Tamil Nadu,50.04,94
NIRF-ENGG-1-2452443212,"Maharashtra Academy Of Engineering And Educational Research, Mit College Of Engineering, Pune-Pune",38.75,49.01,64.45,66.6,44,PUNE,Maharashtra,49.66,95
NIRF-ENGG-1-2455794950,The National Institute Of Engineering,38.67,46.65,77.95,64.66,35,MYSORE,Karnataka,49.514,96
NIRF-ENGG-1-2453623896,"Government College Of Engineering, Aurangabad (Academic Autonomous)",43.4,49.06,71.34,50.18,43,AURANGABAD,Maharashtra,49.511,97
NIRF-ENGG-1-2449945774,Anand Institute Of Higher Technology,29.71,55.27,78.24,61.62,35,CHENNAI,Tamil Nadu,49.41,98
NIRF-ENGG-1-2454813228,Noida Institute Of Engineering & Technology,44.1,38.54,79.51,69.04,27,GAUTAM BUDH NAGAR,Uttar Pradesh,49.24,99
NIRF-ENGG-1-2455123470,University Institute Of Chemical Engineering And Technology,39.97,56.55,78.3,51.32,17,CHANDIGARH,Chandigarh,49.09,100
